cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
A4722,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",Dialys sol fld vol > 1999cc,P9B, Dialysis services (non-Medicare fee schedule)
A4723,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis",Dialys sol fld vol > 2999cc,P9B, Dialysis services (non-Medicare fee schedule)
A4724,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis",Dialys sol fld vol > 3999cc,P9B, Dialysis services (non-Medicare fee schedule)
A4725,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis",Dialys sol fld vol > 4999cc,P9B, Dialysis services (non-Medicare fee schedule)
A4726,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis",Dialys sol fld vol > 5999cc,P9B, Dialysis services (non-Medicare fee schedule)
A4728,"Dialysate solution, non-dextrose containing, 500 ml","Dialysate solution, non-dex",P9B, Dialysis services (non-Medicare fee schedule)
A4730,"Fistula cannulation set for hemodialysis, each","Fistula cannulation set, ea",P9B, Dialysis services (non-Medicare fee schedule)
A4736,"Topical anesthetic, for dialysis, per gram","Topical anesthetic, per gram",P9B, Dialysis services (non-Medicare fee schedule)
A4737,"Injectable anesthetic, for dialysis, per 10 ml",Inj anesthetic per 10 ml,P9B, Dialysis services (non-Medicare fee schedule)
A4740,"Shunt accessory, for hemodialysis, any type, each",Shunt accessory,P9B, Dialysis services (non-Medicare fee schedule)
A4750,"Blood tubing, arterial or venous, for hemodialysis, each",Art or venous blood tubing,P9B, Dialysis services (non-Medicare fee schedule)
A4755,"Blood tubing, arterial and venous combined, for hemodialysis, each",Comb art/venous blood tubing,P9B, Dialysis services (non-Medicare fee schedule)
A4760,"Dialysate solution test kit, for peritoneal dialysis, any type, each","Dialysate sol test kit, each",P9B, Dialysis services (non-Medicare fee schedule)
A4765,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet",Dialysate conc pow per pack,P9B, Dialysis services (non-Medicare fee schedule)
A4766,"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml",Dialysate conc sol add 10 ml,P9B, Dialysis services (non-Medicare fee schedule)
A4770,"Blood collection tube, vacuum, for dialysis, per 50",Blood collection tube/vacuum,P9B, Dialysis services (non-Medicare fee schedule)
A4771,"Serum clotting time tube, for dialysis, per 50",Serum clotting time tube,P9B, Dialysis services (non-Medicare fee schedule)
A4772,"Blood glucose test strips, for dialysis, per 50",Blood glucose test strips,P9B, Dialysis services (non-Medicare fee schedule)
A4773,"Occult blood test strips, for dialysis, per 50",Occult blood test strips,P9B, Dialysis services (non-Medicare fee schedule)
A4774,"Ammonia test strips, for dialysis, per 50",Ammonia test strips,P9B, Dialysis services (non-Medicare fee schedule)
A4802,"Protamine sulfate, for hemodialysis, per 50 mg",Protamine sulfate per 50 mg,P9B, Dialysis services (non-Medicare fee schedule)
A4860,"Disposable catheter tips for peritoneal dialysis, per 10",Disposable catheter tips,P9B, Dialysis services (non-Medicare fee schedule)
A4870,Plumbing and/or electrical work for home hemodialysis equipment,Plumb/elec wk hm hemo equip,P9B, Dialysis services (non-Medicare fee schedule)
A4890,"Contracts, repair and maintenance, for hemodialysis equipment",Repair/maint cont hemo equip,P9B, Dialysis services (non-Medicare fee schedule)
A4911,"Drain bag/bottle, for dialysis, each",Drain bag/bottle,P9B, Dialysis services (non-Medicare fee schedule)
A4913,"Miscellaneous dialysis supplies, not otherwise specified",Misc dialysis supplies noc,P9B, Dialysis services (non-Medicare fee schedule)
A4918,"Venous pressure clamp, for hemodialysis, each",Venous pressure clamp,P9B, Dialysis services (non-Medicare fee schedule)
A4927,"Gloves, non-sterile, per 100",Non-sterile gloves,P9B, Dialysis services (non-Medicare fee schedule)
A4928,"Surgical mask, per 20",Surgical mask,P9B, Dialysis services (non-Medicare fee schedule)
A4929,"Tourniquet for dialysis, each","Tourniquet for dialysis, ea",P9B, Dialysis services (non-Medicare fee schedule)
A4930,"Gloves, sterile, per pair","Sterile, gloves per pair",P9B, Dialysis services (non-Medicare fee schedule)
A4931,"Oral thermometer, reusable, any type, each",Reusable oral thermometer,P9B, Dialysis services (non-Medicare fee schedule)
A4932,"Rectal thermometer, reusable, any type, each",Reusable rectal thermometer,Z2, Undefined codes
A5051,"Ostomy pouch, closed; with barrier attached (1 piece), each",Pouch clsd w barr attached,D1F, Prosthetic/Orthotic devices
A5052,"Ostomy pouch, closed; without barrier attached (1 piece), each",Clsd ostomy pouch w/o barr,D1F, Prosthetic/Orthotic devices
A5053,"Ostomy pouch, closed; for use on faceplate, each",Clsd ostomy pouch faceplate,D1F, Prosthetic/Orthotic devices
A5054,"Ostomy pouch, closed; for use on barrier with flange (2 piece), each",Clsd ostomy pouch w/flange,D1F, Prosthetic/Orthotic devices
A5055,Stoma cap,Stoma cap,D1F, Prosthetic/Orthotic devices
A5056,"Ostomy pouch, drainable, with extended wear barrier attached, with filter, (1 piece), each",1 pc ost pouch w filter,D1F, Prosthetic/Orthotic devices
A5057,"Ostomy pouch, drainable, with extended wear barrier attached, with built in convexity, with filter, (1 piece), each",1 pc ost pou w built-in conv,D1F, Prosthetic/Orthotic devices
A5061,"Ostomy pouch, drainable; with barrier attached, (1 piece), each",Pouch drainable w barrier at,D1F, Prosthetic/Orthotic devices
A5062,"Ostomy pouch, drainable; without barrier attached (1 piece), each",Drnble ostomy pouch w/o barr,D1F, Prosthetic/Orthotic devices
A5063,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each",Drain ostomy pouch w/flange,D1F, Prosthetic/Orthotic devices
A5071,"Ostomy pouch, urinary; with barrier attached (1 piece), each",Urinary pouch w/barrier,D1F, Prosthetic/Orthotic devices
A5072,"Ostomy pouch, urinary; without barrier attached (1 piece), each",Urinary pouch w/o barrier,D1F, Prosthetic/Orthotic devices
A5073,"Ostomy pouch, urinary; for use on barrier with flange (2 piece), each",Urinary pouch on barr w/flng,D1F, Prosthetic/Orthotic devices
A5081,"Stoma plug or seal, any type","Stoma plug or seal, any type",D1F, Prosthetic/Orthotic devices
A5082,Continent device; catheter for continent stoma,Continent stoma catheter,D1F, Prosthetic/Orthotic devices
A5083,"Continent device, stoma absorptive cover for continent stoma",Stoma absorptive cover,D1F, Prosthetic/Orthotic devices
A5093,Ostomy accessory; convex insert,Ostomy accessory convex inse,D1F, Prosthetic/Orthotic devices
A5102,"Bedside drainage bottle with or without tubing, rigid or expandable, each",Bedside drain btl w/wo tube,D1F, Prosthetic/Orthotic devices
A5105,"Urinary suspensory with leg bag, with or without tube, each",Urinary suspensory,D1F, Prosthetic/Orthotic devices
A5112,"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each",Urinary leg bag,D1F, Prosthetic/Orthotic devices
A5113,"Leg strap; latex, replacement only, per set",Latex leg strap,D1F, Prosthetic/Orthotic devices
A5114,"Leg strap; foam or fabric, replacement only, per set",Foam/fabric leg strap,D1F, Prosthetic/Orthotic devices
A5120,"Skin barrier, wipes or swabs, each","Skin barrier, wipe or swab",D1F, Prosthetic/Orthotic devices
A5121,"Skin barrier; solid, 6 x 6 or equivalent, each",Solid skin barrier 6x6,D1F, Prosthetic/Orthotic devices
A5122,"Skin barrier; solid, 8 x 8 or equivalent, each",Solid skin barrier 8x8,D1F, Prosthetic/Orthotic devices
A5126,Adhesive or non-adhesive; disk or foam pad,Disk/foam pad +or- adhesive,D1F, Prosthetic/Orthotic devices
A5131,"Appliance cleaner, incontinence and ostomy appliances, per 16 oz.",Appliance cleaner,D1F, Prosthetic/Orthotic devices
A5200,"Percutaneous catheter/tube anchoring device, adhesive skin attachment",Percutaneous catheter anchor,D1F, Prosthetic/Orthotic devices
A5500,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",Diab shoe for density insert,D1F, Prosthetic/Orthotic devices
A5501,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe",Diabetic custom molded shoe,D1F, Prosthetic/Orthotic devices
A5503,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe",Diabetic shoe w/roller/rockr,D1F, Prosthetic/Orthotic devices
A5504,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe",Diabetic shoe with wedge,D1F, Prosthetic/Orthotic devices
A5505,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe",Diab shoe w/metatarsal bar,D1F, Prosthetic/Orthotic devices
A5506,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with off-set heel(s), per shoe",Diabetic shoe w/off set heel,D1F, Prosthetic/Orthotic devices
A5507,"For diabetics only, not otherwise specified modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe",Modification diabetic shoe,D1F, Prosthetic/Orthotic devices
A5508,"For diabetics only, deluxe feature of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe",Diabetic deluxe shoe,D1F, Prosthetic/Orthotic devices
A5510,"For diabetics only, direct formed, compression molded to patient's foot without external heat source, multiple-density insert(s) prefabricated, per shoe",Compression form shoe insert,D1F, Prosthetic/Orthotic devices
A5512,"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 durometer or 3/16 inch material of shore a 40 durometer (or higher), prefabricated, each",Multi den insert direct form,D1F, Prosthetic/Orthotic devices
A5513,"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other shaping material, custom fabricated, each",Multi den insert custom mold,D1F, Prosthetic/Orthotic devices
A5514,"For diabetics only, multiple density insert, made by direct carving with cam technology from a rectified cad model created from a digitized scan of the patient, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other shaping material, custom fabricated, each",Mult den insert dir carv/cam,D1F, Prosthetic/Orthotic devices
A6000,Non-contact wound warming wound cover for use with the non-contact wound warming device and warming card,Wound warming wound cover,D1E, Other DME
A6010,"Collagen based wound filler, dry form, sterile, per gram of collagen",Collagen based wound filler,D1A, Medical/surgical supplies
A6011,"Collagen based wound filler, gel/paste, per gram of collagen",Collagen gel/paste wound fil,D1A, Medical/surgical supplies
A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each",Collagen dressing <=16 sq in,D1A, Medical/surgical supplies
A6022,"Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each",Collagen drsg>16<=48 sq in,D1A, Medical/surgical supplies
A6023,"Collagen dressing, sterile, size more than 48 sq. in., each",Collagen dressing >48 sq in,D1A, Medical/surgical supplies
A6024,"Collagen dressing wound filler, sterile, per 6 inches",Collagen dsg wound filler,D1A, Medical/surgical supplies
A6025,"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each","Silicone gel sheet, each",D1A, Medical/surgical supplies
A6154,"Wound pouch, each",Wound pouch each,D1A, Medical/surgical supplies
A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",Alginate dressing <=16 sq in,D1A, Medical/surgical supplies
A6197,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Alginate drsg >16 <=48 sq in,D1A, Medical/surgical supplies
A6198,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 48 sq. in., each dressing",Alginate dressing > 48 sq in,D1A, Medical/surgical supplies
A6199,"Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches",Alginate drsg wound filler,D1A, Medical/surgical supplies
A6203,"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Composite drsg <= 16 sq in,D1A, Medical/surgical supplies
A6204,"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Composite drsg >16<=48 sq in,D1A, Medical/surgical supplies
A6205,"Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Composite drsg > 48 sq in,D1A, Medical/surgical supplies
A6206,"Contact layer, sterile, 16 sq. in. or less, each dressing",Contact layer <= 16 sq in,D1A, Medical/surgical supplies
A6207,"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Contact layer >16<= 48 sq in,D1A, Medical/surgical supplies
A6208,"Contact layer, sterile, more than 48 sq. in., each dressing",Contact layer > 48 sq in,D1A, Medical/surgical supplies
A6209,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Foam drsg <=16 sq in w/o bdr,D1A, Medical/surgical supplies
A6210,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Foam drg >16<=48 sq in w/o b,D1A, Medical/surgical supplies
A6211,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Foam drg > 48 sq in w/o brdr,D1A, Medical/surgical supplies
A6212,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Foam drg <=16 sq in w/border,D1A, Medical/surgical supplies
A6213,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Foam drg >16<=48 sq in w/bdr,D1A, Medical/surgical supplies
A6214,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Foam drg > 48 sq in w/border,D1A, Medical/surgical supplies
A6215,"Foam dressing, wound filler, sterile, per gram",Foam dressing wound filler,D1A, Medical/surgical supplies
A6216,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Non-sterile gauze<=16 sq in,D1A, Medical/surgical supplies
A6217,"Gauze, non-impregnated, non-sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Non-sterile gauze>16<=48 sq,D1A, Medical/surgical supplies
A6218,"Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Non-sterile gauze > 48 sq in,D1A, Medical/surgical supplies
A6219,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Gauze <= 16 sq in w/border,D1A, Medical/surgical supplies
A6220,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Gauze >16 <=48 sq in w/bordr,D1A, Medical/surgical supplies
A6221,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Gauze > 48 sq in w/border,D1A, Medical/surgical supplies
A6222,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Gauze <=16 in no w/sal w/o b,D1A, Medical/surgical supplies
A6223,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 16 sq. in., but less than or equal to 48 sq. in., without adhesive border, each dressing",Gauze >16<=48 no w/sal w/o b,D1A, Medical/surgical supplies
A6224,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Gauze > 48 in no w/sal w/o b,D1A, Medical/surgical supplies
A6228,"Gauze, impregnated, water or normal saline, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Gauze <= 16 sq in water/sal,D1A, Medical/surgical supplies
A6229,"Gauze, impregnated, water or normal saline, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Gauze >16<=48 sq in watr/sal,D1A, Medical/surgical supplies
A6230,"Gauze, impregnated, water or normal saline, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Gauze > 48 sq in water/salne,D1A, Medical/surgical supplies
A6231,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size 16 sq. in. or less, each dressing",Hydrogel dsg<=16 sq in,D1A, Medical/surgical supplies
A6232,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size greater than 16 sq. in., but less than or equal to 48 sq. in., each dressing",Hydrogel dsg>16<=48 sq in,D1A, Medical/surgical supplies
A6233,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size more than 48 sq. in., each dressing",Hydrogel dressing >48 sq in,D1A, Medical/surgical supplies
A6234,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Hydrocolld drg <=16 w/o bdr,D1A, Medical/surgical supplies
A6235,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Hydrocolld drg >16<=48 w/o b,D1A, Medical/surgical supplies
A6236,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Hydrocolld drg > 48 in w/o b,D1A, Medical/surgical supplies
A6237,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Hydrocolld drg <=16 in w/bdr,D1A, Medical/surgical supplies
A6238,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Hydrocolld drg >16<=48 w/bdr,D1A, Medical/surgical supplies
A6239,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Hydrocolld drg > 48 in w/bdr,D1A, Medical/surgical supplies
A6240,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce",Hydrocolld drg filler paste,D1A, Medical/surgical supplies
A6241,"Hydrocolloid dressing, wound filler, dry form, sterile, per gram",Hydrocolloid drg filler dry,D1A, Medical/surgical supplies
A6242,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Hydrogel drg <=16 in w/o bdr,D1A, Medical/surgical supplies
A6243,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Hydrogel drg >16<=48 w/o bdr,D1A, Medical/surgical supplies
A6244,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Hydrogel drg >48 in w/o bdr,D1A, Medical/surgical supplies
A6245,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Hydrogel drg <= 16 in w/bdr,D1A, Medical/surgical supplies
A6246,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Hydrogel drg >16<=48 in w/b,D1A, Medical/surgical supplies
A6247,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Hydrogel drg > 48 sq in w/b,D1A, Medical/surgical supplies
A6248,"Hydrogel dressing, wound filler, gel, per fluid ounce",Hydrogel drsg gel filler,D1A, Medical/surgical supplies
A6250,"Skin sealants, protectants, moisturizers, ointments, any type, any size",Skin seal protect moisturizr,D1A, Medical/surgical supplies
A6251,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Absorpt drg <=16 sq in w/o b,D1A, Medical/surgical supplies
A6252,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Absorpt drg >16 <=48 w/o bdr,D1A, Medical/surgical supplies
A6253,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Absorpt drg > 48 sq in w/o b,D1A, Medical/surgical supplies
A6254,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",Absorpt drg <=16 sq in w/bdr,D1A, Medical/surgical supplies
A6255,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",Absorpt drg >16<=48 in w/bdr,D1A, Medical/surgical supplies
A6256,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Absorpt drg > 48 sq in w/bdr,D1A, Medical/surgical supplies
A6257,"Transparent film, sterile, 16 sq. in. or less, each dressing",Transparent film <= 16 sq in,D1A, Medical/surgical supplies
A6258,"Transparent film, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Transparent film >16<=48 in,D1A, Medical/surgical supplies
A6259,"Transparent film, sterile, more than 48 sq. in., each dressing",Transparent film > 48 sq in,D1A, Medical/surgical supplies
A6260,"Wound cleansers, any type, any size",Wound cleanser any type/size,D1A, Medical/surgical supplies
A6261,"Wound filler, gel/paste, per fluid ounce, not otherwise specified",Wound filler gel/paste /oz,D1A, Medical/surgical supplies
A6262,"Wound filler, dry form, per gram, not otherwise specified",Wound filler dry form / gram,D1A, Medical/surgical supplies
A6266,"Gauze, impregnated, other than water, normal saline, or zinc paste, sterile, any width, per linear yard",Impreg gauze no h20/sal/yard,D1A, Medical/surgical supplies
A6402,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Sterile gauze <= 16 sq in,D1A, Medical/surgical supplies
A6403,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. less than or equal to 48 sq. in., without adhesive border, each dressing",Sterile gauze>16 <= 48 sq in,D1A, Medical/surgical supplies
A6404,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Sterile gauze > 48 sq in,D1A, Medical/surgical supplies
A6407,"Packing strips, non-impregnated, sterile, up to 2 inches in width, per linear yard","Packing strips, non-impreg",D1A, Medical/surgical supplies
A6410,"Eye pad, sterile, each",Sterile eye pad,D1A, Medical/surgical supplies
A6411,"Eye pad, non-sterile, each",Non-sterile eye pad,D1A, Medical/surgical supplies
A6412,"Eye patch, occlusive, each",Occlusive eye patch,Z2, Undefined codes
A6413,"Adhesive bandage, first-aid type, any size, each","Adhesive bandage, first-aid",D1A, Medical/surgical supplies
A6441,"Padding bandage, non-elastic, non-woven/non-knitted, width greater than or equal to three inches and less than five inches, per yard","Pad band w>=3"" <5""/yd",D1A, Medical/surgical supplies
A6442,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width less than three inches, per yard","Conform band n/s w<3""/yd",D1A, Medical/surgical supplies
A6443,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to three inches and less than five inches, per yard","Conform band n/s w>=3""<5""/yd",D1A, Medical/surgical supplies
A6444,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to 5 inches, per yard","Conform band n/s w>=5""/yd",D1A, Medical/surgical supplies
A6445,"Conforming bandage, non-elastic, knitted/woven, sterile, width less than three inches, per yard","Conform band s w <3""/yd",D1A, Medical/surgical supplies
A6446,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to three inches and less than five inches, per yard","Conform band s w>=3"" <5""/yd",D1A, Medical/surgical supplies
A6447,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to five inches, per yard","Conform band s w >=5""/yd",D1A, Medical/surgical supplies
A6448,"Light compression bandage, elastic, knitted/woven, width less than three inches, per yard","Lt compres band <3""/yd",D1A, Medical/surgical supplies
A6449,"Light compression bandage, elastic, knitted/woven, width greater than or equal to three inches and less than five inches, per yard","Lt compres band >=3"" <5""/yd",D1A, Medical/surgical supplies
A6450,"Light compression bandage, elastic, knitted/woven, width greater than or equal to five inches, per yard","Lt compres band >=5""/yd",D1A, Medical/surgical supplies
A6451,"Moderate compression bandage, elastic, knitted/woven, load resistance of 1.25 to 1.34 foot pounds at 50% maximum stretch, width greater than or equal to three inches and less than five inches, per yard","Mod compres band w>=3""<5""/yd",D1A, Medical/surgical supplies
A6452,"High compression bandage, elastic, knitted/woven, load resistance greater than or equal to 1.35 foot pounds at 50% maximum stretch, width greater than or equal to three inches and less than five inches, per yard","High compres band w>=3""<5""yd",D1A, Medical/surgical supplies
A6453,"Self-adherent bandage, elastic, non-knitted/non-woven, width less than three inches, per yard","Self-adher band w <3""/yd",D1A, Medical/surgical supplies
A6454,"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to three inches and less than five inches, per yard","Self-adher band w>=3"" <5""/yd",D1A, Medical/surgical supplies
A6455,"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to five inches, per yard","Self-adher band >=5""/yd",D1A, Medical/surgical supplies
A6456,"Zinc paste impregnated bandage, non-elastic, knitted/woven, width greater than or equal to three inches and less than five inches, per yard","Zinc paste band w >=3""<5""/yd",D1A, Medical/surgical supplies
A6457,"Tubular dressing with or without elastic, any width, per linear yard",Tubular dressing,D1A, Medical/surgical supplies
A6460,"Synthetic resorbable wound dressing, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Synthetic drsg <= 16 sq in,D1A, Medical/surgical supplies
A6461,"Synthetic resorbable wound dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",Synthetic drsg >16<=48 sq in,D1A, Medical/surgical supplies
A6501,"Compression burn garment, bodysuit (head to foot), custom fabricated",Compres burngarment bodysuit,D1A, Medical/surgical supplies
A6502,"Compression burn garment, chin strap, custom fabricated",Compres burngarment chinstrp,D1A, Medical/surgical supplies
A6503,"Compression burn garment, facial hood, custom fabricated",Compres burngarment facehood,D1A, Medical/surgical supplies
A6504,"Compression burn garment, glove to wrist, custom fabricated",Cmprsburngarment glove-wrist,D1A, Medical/surgical supplies
A6505,"Compression burn garment, glove to elbow, custom fabricated",Cmprsburngarment glove-elbow,D1A, Medical/surgical supplies
A6506,"Compression burn garment, glove to axilla, custom fabricated",Cmprsburngrmnt glove-axilla,D1A, Medical/surgical supplies
A6507,"Compression burn garment, foot to knee length, custom fabricated",Cmprs burngarment foot-knee,D1A, Medical/surgical supplies
A6508,"Compression burn garment, foot to thigh length, custom fabricated",Cmprs burngarment foot-thigh,D1A, Medical/surgical supplies
A6509,"Compression burn garment, upper trunk to waist including arm openings (vest), custom fabricated",Compres burn garment jacket,D1A, Medical/surgical supplies
A6510,"Compression burn garment, trunk, including arms down to leg openings (leotard), custom fabricated",Compres burn garment leotard,D1A, Medical/surgical supplies
A6511,"Compression burn garment, lower trunk including leg openings (panty), custom fabricated",Compres burn garment panty,D1A, Medical/surgical supplies
A6512,"Compression burn garment, not otherwise classified","Compres burn garment, noc",D1A, Medical/surgical supplies
A6513,"Compression burn mask, face and/or neck, plastic or equal, custom fabricated",Compress burn mask face/neck,D1A, Medical/surgical supplies
A6530,"Gradient compression stocking, below knee, 18-30 mmhg, each",Compression stocking bk18-30,D1A, Medical/surgical supplies
A6531,"Gradient compression stocking, below knee, 30-40 mmhg, each",Compression stocking bk30-40,D1A, Medical/surgical supplies
A6532,"Gradient compression stocking, below knee, 40-50 mmhg, each",Compression stocking bk40-50,D1A, Medical/surgical supplies
A6533,"Gradient compression stocking, thigh length, 18-30 mmhg, each",Gc stocking thighlngth 18-30,D1A, Medical/surgical supplies
A6534,"Gradient compression stocking, thigh length, 30-40 mmhg, each",Gc stocking thighlngth 30-40,D1A, Medical/surgical supplies
A6535,"Gradient compression stocking, thigh length, 40-50 mmhg, each",Gc stocking thighlngth 40-50,D1A, Medical/surgical supplies
A6536,"Gradient compression stocking, full length/chap style, 18-30 mmhg, each",Gc stocking full lngth 18-30,D1A, Medical/surgical supplies
